76	7	5	8	6	4	6	3	4	4	2	3	3	2	3	3	4	4	5	3	3	8	5	2	7	6	5	11	6	4	5	8	5	10	4	4	5	3	2	5	4	4	8	4	5	8	6	4	7	6	4	9	6	5	7	5	4	6	7	5	12	4	4	5	7	5	10	4	3	6	4	4	6	5	5	8	5	4	6	7	6	10	6	6	8	4	6	10	6	4	7	5	3	5	7	5	8	6	4	6	7	4	8	2	3	3	6	3	8	3	5	8	7	4	7	10	5	12	5	3	6	6	5	8	3	4	6	6	4	7	4	4	8	8	6	10	7	5	9	6	4	6	4	5	5	5	4	8	4	2	4	2	3	2	5	4	5	5	5	7	3	3	5	3	3	5	6	4	6	7	5	10	4	3	6	8	4	7	4	3	7	7	4	6	7	5	9	6	6	8	3	2	3	1	2	2	4	3	5	7	5	8	5	4	7	5	5	8	4	4	5	1	4	4	3	3	2	3	3	2	5	4	6	6	3	6	5	3	4	3	4	5	3	4	5	7	6	7	4	4	4	5	3	6	2	3	6	7	4	9	5	4	8	4	4	7	3	2	6	4	4	7	5	4	7	5	4	6	5	4	9
77	1	2	2	1	2	2	1	2	3	4	3	6	2	2	1	2	2	3	4	2	7	5	3	2	1	3	4	5	4	8	2	3	0	6	4	6	5	3	6	6	4	6	2	4	4	5	2	4	1	2	4	1	1	2	1	2	4	2	1	3	4	2	5	5	2	6	3	3	3	-1	0	-1	1	3	4	4	2	4	4	3	6	4	2	3	2	3	4	5	4	8	3	3	2	2	2	4	5	5	8	4	4	6	3	3	2	1	3	4	5	2	2	3	3	3	4	3	9	3	3	6	5	3	6	2	3	6	2	2	3	0	0	0	3	4	6	4	0	6	2	2	5	4	4	6	5	3	7	6	3	5	6	3	6	2	2	2	4	1	4	1	1	1	2	5	3	0	2	1	3	2	5	3	3	7	2	3	2	4	3	3	0	1	0	2	2	7	7	4	8	5	3	5	5	4	7	3	2	2	2	2	4	6	3	6	3	4	4	3	3	5	5	3	5	3	3	5	4	2	5	5	4	3	4	3	6	3	3	5	1	2	3	5	5	6	3	1	6	3	3	6	1	1	3	1	3	2	7	4	9	4	2	5	3	4	5	2	4	3	2	1	1	3	3	6	3	1	1	2	2	4
78	3	1	2	2	1	3	3	1	4	0	2	2	3	1	3	3	2	3	2	2	3	1	3	6	5	4	8	1	2	2	3	4	5	3	3	5	0	2	4	2	1	3	0	1	0	3	2	5	2	2	4	1	1	2	1	1	1	3	3	4	2	1	6	4	4	7	1	1	1	2	2	3	6	2	8	0	1	2	0	2	1	2	0	2	5	3	6	0	1	2	1	0	0	4	1	3	3	2	3	2	1	0	2	1	4	1	1	0	1	1	2	2	2	4	3	2	3	4	3	6	-1	0	-1	1	2	2	4	2	2	0	1	0	2	2	4	4	2	3	2	2	3	0	1	-1	1	3	2	0	0	3	0	3	2	1	1	1	0	0	-1	4	1	3	2	2	3	1	2	0	2	1	2	0	2	0	1	1	2	3	3	4	4	2	2	0	3	0	3	1	4	0	0	1	3	2	6	1	2	2	4	1	3	-1	1	1	1	2	3	1	2	2	1	2	3	1	1	0	0	1	0	0	1	2	5	3	8	2	2	2	3	2	4	2	1	1	0	2	1	0	3	2	3	2	0	2	2	1	2	2	2	0	2	0	4	1	6	5	2	6	0	2	1	2	3	5	4	2	3	1	2	2
79	4	4	6	5	4	6	2	1	2	5	3	3	5	5	6	4	3	5	5	2	4	2	4	6	5	3	7	0	3	0	5	3	7	1	1	3	3	3	5	2	3	2	6	4	9	2	2	4	2	4	4	5	3	7	6	4	5	5	3	8	1	1	-1	3	4	7	2	1	3	2	3	6	3	3	5	2	3	4	2	3	3	5	3	0	4	4	6	1	2	4	4	3	3	5	3	5	5	5	6	3	2	0	5	4	8	3	3	6	7	4	8	1	3	2	2	3	3	4	3	4	5	4	8	3	2	4	4	3	5	5	4	6	6	4	8	2	2	4	6	5	8	4	2	5	4	3	8	8	5	6	6	4	6	2	2	5	5	4	5	1	3	2	6	3	5	3	3	4	3	2	4	6	3	7	5	3	5	2	3	3	6	3	7	3	2	3	3	5	5	5	4	5	2	2	3	4	3	5	5	4	3	2	2	3	0	2	1	2	2	4	3	3	8	4	5	6	3	5	8	5	3	6	4	4	6	3	3	5	3	2	5	6	3	8	2	2	4	5	3	6	6	3	6	4	3	5	5	3	4	4	4	3	1	2	3	4	2	2	0	2	4	3	4	3	3	3	7	4	3	5
80	5	2	6	5	4	6	2	3	4	5	3	5	2	2	2	2	3	3	4	4	5	5	3	7	4	3	4	5	4	3	5	4	6	4	2	2	5	2	5	3	1	2	4	3	7	6	2	6	2	2	3	7	5	7	2	2	1	4	4	5	3	3	5	6	3	10	3	4	7	5	3	8	5	3	6	2	4	3	6	3	5	6	3	8	5	4	6	4	3	5	5	3	8	3	2	4	2	1	1	6	4	8	1	1	2	3	3	6	3	2	2	5	4	9	4	3	6	2	1	2	4	3	7	3	3	7	5	3	6	5	3	5	2	3	3	5	3	5	-2	1	0	2	3	5	5	3	5	2	3	6	5	4	5	3	3	9	5	4	6	2	2	2	1	2	1	3	2	5	3	2	7	3	3	4	4	3	6	4	3	5	4	4	6	5	3	7	1	0	3	5	3	4	1	3	2	6	3	7	4	4	5	6	5	9	2	2	2	1	3	5	4	4	9	1	3	5	2	3	2	3	4	2	2	3	3	4	3	8	3	2	1	2	2	6	1	3	2	3	4	5	6	3	6	0	2	0	3	3	6	0	2	5	4	3	5	4	3	3	2	2	2	2	4	3	5	4	7	2	3	5
81	3	3	4	5	5	5	3	3	7	3	2	4	5	3	6	1	1	3	3	4	4	9	4	8	3	3	4	0	3	3	6	4	7	6	4	7	5	4	9	6	3	7	4	3	6	5	3	6	1	2	5	4	3	6	3	4	4	4	5	8	5	4	7	4	3	10	3	2	5	3	1	4	2	2	4	0	3	3	1	1	1	3	4	5	2	3	4	7	3	6	1	3	3	5	3	4	2	2	3	5	3	4	4	2	5	2	2	4	2	3	5	2	2	4	1	3	3	4	3	6	3	2	3	2	3	4	2	2	4	4	4	3	2	2	6	2	3	5	5	4	7	2	0	4	2	2	3	2	3	2	5	2	8	8	4	8	-1	1	0	3	3	3	1	1	2	6	4	8	3	4	3	4	4	5	4	3	3	1	1	4	0	1	0	6	3	7	4	4	5	2	3	3	2	2	4	5	3	8	2	2	5	3	2	4	4	3	8	1	3	4	2	1	2	9	4	8	3	2	3	6	4	10	3	2	3	4	2	5	3	4	8	1	3	3	3	2	4	7	4	8	3	3	4	6	4	7	1	2	1	5	3	6	1	2	4	3	2	5	5	3	4	1	2	6	3	3	5	3	3	3
82	3	3	4	6	4	7	4	3	4	6	4	6	4	4	5	6	4	7	2	3	7	3	3	6	4	4	6	8	5	8	5	2	6	7	3	10	5	2	5	5	2	5	4	3	4	4	4	7	5	2	6	7	3	8	8	6	11	3	3	3	6	3	5	2	2	3	1	3	2	4	3	8	5	3	3	6	3	6	3	3	4	5	4	5	1	4	2	5	3	7	2	2	4	4	5	5	3	2	5	4	3	5	4	3	6	1	4	4	3	4	3	6	5	6	5	4	7	3	3	1	5	4	7	2	3	1	2	3	6	2	1	3	6	6	6	5	3	6	3	5	5	2	3	6	8	6	13	2	4	4	4	3	6	5	3	7	5	4	5	7	5	8	5	2	7	4	4	4	6	3	4	3	1	4	7	5	9	8	4	9	3	2	4	1	3	4	5	5	11	5	4	6	3	1	4	2	2	5	3	3	3	4	4	7	4	3	4	5	3	9	6	5	11	5	4	7	4	2	7	6	4	7	3	3	2	1	3	5	3	2	7	3	3	5	2	3	4	5	3	7	3	2	7	7	5	7	3	4	3	3	3	2	4	4	4	5	5	8	6	4	8	5	4	6	6	5	6	4	2	6
83	6	3	6	3	3	4	2	2	1	2	2	3	4	2	4	7	3	9	1	0	0	4	2	3	2	2	4	2	3	4	3	2	4	3	3	7	5	2	5	4	4	6	6	4	8	0	2	3	2	3	4	5	4	5	2	3	2	1	2	1	3	2	4	4	4	6	1	1	5	-1	1	1	2	2	3	0	2	2	1	3	3	3	1	5	5	2	5	2	1	1	1	2	2	4	2	4	5	2	6	2	4	2	0	2	0	5	3	7	3	2	6	3	2	3	4	1	3	0	1	0	4	2	3	3	2	4	5	4	8	3	1	4	5	3	7	2	3	4	4	3	7	0	1	2	3	3	8	4	2	7	3	4	7	2	2	2	2	2	1	2	3	2	3	3	6	6	4	5	5	4	9	3	2	2	6	3	7	1	3	0	0	2	0	3	4	4	3	4	5	2	2	3	4	2	3	1	0	4	2	2	1	4	2	7	0	0	-3	2	2	3	0	1	4	1	3	2	3	2	4	2	1	2	3	2	3	2	1	0	5	4	6	5	3	6	2	2	0	4	2	5	4	3	6	3	2	5	3	1	3	3	2	3	5	4	7	0	2	6	5	3	5	3	2	3	2	2	5	2	1	3
84	3	4	5	4	4	8	4	2	4	5	4	7	5	5	6	4	4	7	4	2	4	4	4	6	7	4	9	3	4	5	5	3	7	6	5	6	3	3	7	3	4	2	7	5	8	6	3	8	2	2	5	6	3	8	5	5	8	6	5	10	5	3	3	5	5	5	5	5	5	2	2	3	3	3	5	7	3	9	4	4	7	4	3	4	5	4	5	4	1	2	6	5	8	5	3	5	8	4	9	3	4	4	5	3	6	3	4	4	3	3	3	7	4	5	5	4	5	4	4	6	5	5	7	5	4	7	5	3	5	3	3	7	3	3	4	3	2	1	2	3	3	4	5	9	3	2	3	3	4	7	5	4	8	6	4	7	4	3	9	4	4	8	7	4	10	5	3	4	4	4	5	4	3	4	6	3	7	6	4	6	7	4	7	3	3	4	3	4	4	2	3	7	5	3	6	4	4	8	5	4	4	4	3	9	3	2	4	9	6	11	4	3	4	3	5	4	5	4	6	1	2	6	7	4	6	4	1	4	1	5	5	4	4	8	2	3	2	6	4	8	4	3	6	5	3	9	2	2	3	4	4	6	5	3	4	2	3	4	5	3	7	6	5	7	5	3	5	4	3	6
85	4	2	4	3	2	5	3	2	5	6	5	5	3	2	2	3	2	6	3	2	3	8	5	7	2	4	5	3	2	4	3	2	4	0	1	1	0	2	0	2	1	3	2	3	6	2	2	2	5	3	4	7	4	8	7	4	8	0	2	2	5	3	7	5	3	5	4	2	5	4	3	7	3	3	5	3	4	4	6	3	5	3	2	2	6	3	6	1	2	3	1	1	4	1	2	2	4	3	8	3	3	3	4	5	5	9	5	7	0	0	2	5	2	7	4	3	5	3	3	2	1	2	4	7	4	10	2	2	2	2	2	2	5	4	9	0	1	2	4	4	6	0	2	0	4	5	7	6	4	5	5	4	3	4	3	5	5	2	6	4	3	2	3	2	3	3	2	6	4	4	6	0	1	2	3	2	4	5	4	8	2	1	2	1	2	2	3	3	6	1	1	1	3	3	4	2	1	3	5	2	3	2	3	4	3	4	5	3	2	5	2	2	0	5	5	10	0	2	1	2	3	1	3	3	5	1	1	3	1	2	0	2	2	2	2	3	5	2	1	1	3	2	6	4	3	4	5	3	6	5	5	8	5	4	5	1	2	5	0	2	0	0	1	1	5	3	4	3	0	2
86	6	4	7	5	4	6	5	4	8	3	3	5	0	1	1	5	2	6	5	4	7	4	4	3	4	4	6	3	4	6	4	4	5	3	3	6	4	4	7	8	5	9	5	3	6	8	4	7	2	2	3	3	2	1	4	3	4	5	4	4	9	4	9	3	4	4	4	3	5	6	3	5	3	3	4	4	4	5	3	2	4	4	3	6	4	4	4	4	2	4	4	3	6	5	4	7	3	4	5	3	3	3	3	3	4	5	4	5	5	5	5	5	3	6	1	3	2	3	2	3	0	2	3	5	5	7	6	3	6	6	4	9	6	4	7	4	3	6	2	3	5	4	2	6	1	2	4	3	2	4	6	4	7	5	4	4	4	3	7	4	3	4	6	4	9	5	3	6	2	4	6	3	4	7	6	4	5	3	4	7	5	4	4	2	3	1	7	4	6	4	2	8	9	4	12	1	1	1	4	4	4	4	3	4	3	3	5	9	4	11	6	4	6	1	3	2	3	2	3	4	3	3	6	2	4	4	4	4	8	6	9	4	3	3	3	1	5	4	2	6	1	3	2	4	3	5	5	3	8	2	3	1	4	4	3	3	3	6	5	3	5	6	5	7	3	4	4	3	3	4
87	4	6	8	3	3	6	7	6	8	5	4	8	7	6	11	6	4	7	1	2	4	6	4	9	4	4	5	8	5	12	3	4	4	10	6	11	7	6	8	6	4	6	6	6	9	4	4	7	6	4	11	4	3	6	4	3	8	4	3	2	4	4	6	3	4	2	6	5	7	4	2	6	2	3	5	8	5	8	2	2	2	6	4	6	4	3	3	5	5	6	3	4	4	7	4	9	5	5	8	5	4	7	4	4	6	6	5	8	5	5	7	3	3	5	3	4	9	8	6	12	4	2	4	5	4	6	8	6	8	5	5	6	5	3	2	6	4	4	7	4	8	7	5	12	5	5	7	5	4	7	5	3	5	5	4	5	5	4	8	4	4	8	4	5	7	1	3	3	8	4	7	6	3	6	2	3	4	2	3	3	6	2	10	3	1	7	3	3	4	3	4	8	5	5	7	7	5	8	5	3	5	5	3	6	5	5	7	3	3	5	7	4	7	7	5	7	3	4	4	4	4	8	2	2	-1	4	3	4	7	5	8	0	2	1	4	4	10	3	4	5	4	4	6	5	3	6	4	3	8	5	4	8	6	6	8	3	3	5	7	5	11	3	4	3	4	5	4	1	3	3
88	5	4	7	2	3	5	4	4	6	2	3	3	3	2	4	2	3	5	5	4	5	3	2	2	4	3	2	4	6	9	8	5	10	1	1	3	2	3	4	5	5	8	5	4	4	1	2	5	3	4	10	1	2	3	5	3	7	5	3	8	6	5	6	6	3	7	7	3	5	5	4	8	5	4	8	4	2	3	3	2	5	6	2	6	6	5	8	7	5	11	3	3	5	3	4	6	2	3	2	4	4	6	5	5	9	4	3	6	1	2	4	3	3	3	2	2	5	4	5	5	6	3	5	3	3	6	5	4	10	7	4	9	5	5	8	4	3	5	4	3	5	1	3	4	7	4	5	1	3	1	2	3	5	4	4	3	4	2	4	5	4	4	4	2	1	7	3	4	1	2	4	5	2	5	1	3	2	4	3	6	4	3	4	7	4	8	9	6	12	2	3	0	4	2	5	2	2	3	4	3	5	2	4	2	4	4	7	3	4	4	6	4	5	6	5	9	1	1	3	4	3	5	5	3	5	2	3	6	4	3	5	5	3	4	7	5	7	4	3	4	2	3	5	5	4	6	3	3	5	6	3	10	4	3	6	4	4	3	3	2	1	6	5	9	5	4	7	5	4	6
89	2	1	2	4	3	5	0	1	4	4	3	7	4	3	4	6	3	5	3	2	2	1	3	4	3	2	3	3	3	5	1	2	2	2	2	2	1	1	4	4	3	5	5	3	6	4	4	4	2	2	1	3	3	7	2	3	4	1	1	2	3	3	6	2	2	3	3	1	2	1	2	1	4	1	6	2	1	2	4	4	6	4	3	4	0	1	0	1	2	0	1	3	2	2	2	4	0	2	0	4	2	6	4	3	6	4	3	4	4	3	6	3	2	6	8	4	6	0	1	3	3	3	5	3	1	3	1	1	3	1	2	2	3	3	7	2	3	3	5	4	5	1	3	1	1	1	3	2	3	4	2	2	6	1	3	2	1	2	6	6	2	6	5	4	7	3	2	5	6	2	4	4	4	5	3	2	3	3	2	5	3	2	4	6	3	7	4	4	3	3	2	5	4	3	5	0	3	2	0	1	0	6	3	8	1	2	1	1	2	-1	2	2	4	2	2	4	4	4	4	4	3	3	5	5	8	4	3	6	0	1	1	3	3	4	4	2	5	4	3	4	1	3	3	1	2	4	2	2	3	5	4	4	1	1	1	3	2	2	0	1	0	4	3	6	2	3	2	6	4	6
90	7	4	8	4	3	4	6	5	8	6	5	8	7	3	8	5	3	4	0	2	3	2	5	8	4	4	6	9	4	10	4	4	6	7	5	8	7	4	9	5	5	5	3	2	2	4	2	3	4	4	4	9	4	9	7	5	10	7	5	9	4	4	5	5	5	7	5	4	7	7	4	9	2	3	3	4	4	5	7	5	9	6	5	8	1	4	3	7	6	10	4	4	8	4	3	6	6	4	8	6	4	7	5	5	9	9	3	8	8	5	8	4	5	5	4	3	3	6	5	7	3	4	3	5	3	7	5	2	6	5	4	6	6	4	6	9	5	13	3	4	6	3	3	5	4	3	6	4	3	5	10	6	14	5	4	5	4	5	7	6	4	6	7	5	10	5	5	6	5	6	9	5	4	5	3	2	4	4	4	6	5	5	9	6	5	8	7	3	7	8	4	7	3	4	6	7	5	6	6	4	8	6	4	7	6	5	8	5	4	4	5	4	7	6	5	9	4	4	10	4	3	5	8	3	8	5	4	5	4	4	7	6	3	6	6	6	8	6	3	8	4	2	7	5	5	9	6	5	5	6	6	11	5	3	3	6	4	8	4	3	6	4	4	8	4	5	8	6	6	7
91	2	3	7	3	4	6	2	3	6	2	3	4	8	4	9	5	4	6	4	5	7	2	3	2	5	6	8	6	3	6	4	2	3	4	3	5	4	3	7	4	3	5	7	3	5	4	3	7	7	5	8	4	4	5	5	4	5	4	3	5	6	5	6	3	3	5	5	5	6	1	3	5	4	3	8	2	2	2	6	4	8	4	4	7	8	5	12	4	4	7	2	4	8	8	5	8	8	5	8	8	5	9	6	5	6	6	5	7	8	4	9	6	4	8	4	4	4	5	4	4	7	5	9	2	4	3	5	4	5	5	2	6	7	6	12	6	4	8	5	4	8	6	4	8	5	3	6	6	4	4	6	4	6	4	5	7	7	5	8	2	2	2	7	3	7	5	4	7	5	5	8	7	5	9	6	5	6	7	5	11	4	3	7	4	3	6	3	4	3	8	6	10	3	3	0	5	4	7	5	4	6	6	3	8	5	5	8	3	5	4	5	4	8	5	5	7	6	3	6	4	2	6	6	4	7	2	3	6	7	4	6	4	3	6	1	2	4	7	6	10	7	6	10	7	6	9	4	4	7	7	3	4	7	5	9	8	6	8	8	4	7	5	5	5	6	5	9	6	5	9
92	5	4	6	6	3	6	3	4	5	2	2	2	4	4	4	4	4	4	4	4	6	4	5	5	6	6	7	4	2	3	4	4	6	4	4	5	5	4	7	7	4	7	5	4	8	7	6	8	7	4	8	6	4	7	7	6	8	1	3	2	3	5	6	6	4	7	3	4	4	6	4	5	6	4	9	4	3	7	5	4	7	6	3	4	5	5	5	6	5	10	2	1	3	5	3	9	4	2	2	6	4	9	8	3	8	6	4	9	5	4	6	4	4	7	4	3	5	4	2	5	7	4	8	3	3	4	1	3	3	4	4	5	3	4	7	5	4	6	8	6	9	2	1	3	4	3	4	4	3	4	6	5	9	6	4	6	3	3	4	4	3	5	5	3	5	0	2	2	4	4	9	6	3	7	2	2	1	2	3	6	4	3	6	5	5	8	3	4	5	3	2	6	2	4	4	7	4	9	3	2	3	5	4	9	6	5	5	4	3	7	3	3	4	4	4	7	5	3	8	7	4	10	2	2	3	1	4	3	4	4	6	5	4	6	6	5	6	0	4	3	5	4	7	4	5	7	4	3	6	6	3	6	2	3	5	0	2	1	3	3	7	6	3	6	1	2	2	6	5	8
93	4	4	4	1	2	3	4	4	7	3	4	5	5	3	5	3	2	4	8	5	8	3	3	5	4	1	5	5	3	4	4	4	6	4	4	7	3	2	5	2	2	4	3	2	4	3	3	6	6	3	5	2	2	6	7	5	6	5	3	3	5	4	6	4	2	3	7	4	8	1	3	1	6	4	9	3	3	5	-1	2	1	1	3	5	0	2	1	3	4	5	4	3	9	3	3	5	3	3	4	2	2	3	6	4	9	5	3	5	5	3	6	8	4	8	5	5	8	3	3	2	5	4	9	1	3	2	7	5	11	5	4	6	2	2	4	4	2	3	5	4	8	3	2	2	7	5	9	5	3	6	5	4	9	2	4	3	6	4	7	3	4	4	5	2	5	4	4	5	5	3	6	2	2	2	4	4	4	4	4	4	6	5	6	2	4	6	4	2	3	2	2	3	4	2	5	4	4	6	4	3	6	3	3	5	5	4	3	1	2	1	6	3	4	3	3	5	2	3	5	3	2	6	1	1	2	4	2	4	7	5	8	6	4	8	1	2	4	3	3	5	2	2	2	3	3	5	6	4	10	6	3	6	3	3	5	5	3	4	2	4	2	4	2	3	4	3	5	2	3	3
94	0	1	1	4	1	3	3	2	4	0	1	2	1	2	1	0	1	-2	4	3	5	2	3	3	2	2	5	5	2	6	2	2	5	4	2	6	1	3	4	2	0	4	4	3	4	5	3	3	5	2	4	3	2	3	2	1	3	2	2	2	6	4	6	2	1	6	3	3	3	5	3	4	4	4	6	3	2	2	0	3	1	2	2	3	5	3	3	3	2	3	2	2	4	2	2	3	3	1	3	2	2	2	2	3	5	3	4	4	3	2	4	1	2	5	4	2	5	2	2	5	4	3	7	2	2	1	5	5	10	2	2	3	2	1	3	3	3	4	4	3	2	0	1	2	2	2	3	4	2	4	5	3	8	4	4	5	6	4	6	3	2	4	2	4	4	3	2	3	5	4	4	1	2	3	1	1	0	4	4	7	2	4	4	4	3	6	2	1	1	-3	0	-1	4	2	3	1	1	0	2	3	0	4	1	2	1	0	3	3	3	4	1	1	1	2	2	2	4	3	4	2	3	6	2	1	0	4	2	6	2	3	3	0	0	1	3	3	4	3	3	5	7	2	4	5	2	3	2	2	4	6	3	7	0	2	3	3	3	4	2	2	3	6	2	8	3	3	4	2	4	5
95	4	3	3	3	4	7	8	5	8	4	4	8	3	5	5	8	6	11	6	5	8	6	4	6	5	5	6	4	4	7	8	4	9	6	5	9	2	3	1	6	4	8	4	6	7	4	3	3	4	3	6	9	6	11	9	6	11	7	4	10	6	5	7	8	4	7	6	5	7	8	6	9	5	3	5	8	6	9	9	6	12	3	3	2	6	4	10	7	5	10	6	4	8	6	5	6	4	3	5	4	4	7	2	3	7	3	2	4	5	5	8	5	5	7	5	4	8	9	5	6	5	5	6	9	6	11	7	5	8	6	5	7	4	3	7	3	4	8	3	4	8	6	4	6	7	5	8	3	3	6	6	4	4	5	4	6	3	4	3	5	2	8	8	6	12	0	2	2	6	4	7	7	5	9	5	6	6	5	4	7	6	4	8	6	5	8	5	5	8	3	2	5	4	3	7	5	3	7	6	5	8	5	5	6	6	5	7	6	4	6	5	2	6	5	6	7	7	4	8	5	3	5	1	2	4	3	4	8	7	3	9	5	4	6	9	4	9	3	3	5	8	7	10	5	6	7	8	6	8	6	5	8	7	6	8	7	6	9	8	5	7	8	5	6	5	5	8	9	5	11
96	0	2	1	2	1	2	5	3	6	0	3	1	5	4	7	4	2	3	3	1	5	4	2	3	3	1	2	3	2	5	3	3	3	0	2	1	4	2	5	2	2	4	2	2	3	2	1	4	2	2	5	2	2	2	4	3	4	2	1	1	3	3	5	5	3	3	5	3	4	3	3	5	1	2	0	2	2	2	1	2	2	1	0	0	3	2	3	4	5	7	2	2	4	3	3	3	1	1	2	2	3	3	4	3	4	2	4	7	3	3	3	2	2	5	1	2	3	0	3	5	4	3	3	2	2	3	4	3	4	2	2	4	0	1	2	3	2	3	1	1	1	0	1	1	3	2	1	3	2	3	2	1	2	4	3	4	-1	2	0	1	1	2	5	2	9	2	2	2	4	2	3	4	2	3	3	3	4	4	4	5	4	4	3	4	2	5	4	3	5	5	5	7	2	2	4	0	0	0	4	4	6	2	2	2	3	3	6	5	4	5	4	2	5	0	2	2	6	3	11	2	3	5	2	3	3	4	1	5	3	2	5	1	2	0	2	0	0	2	0	0	3	1	5	1	2	2	1	1	1	2	3	5	1	2	2	2	3	2	0	0	0	3	3	7	3	2	2	4	3	6
97	7	5	10	7	4	9	6	6	8	6	5	6	9	6	13	10	6	10	8	7	9	7	5	9	6	6	10	5	4	5	6	4	9	5	5	5	5	3	5	11	6	9	5	6	4	11	7	11	7	6	8	9	8	11	8	6	7	7	6	7	9	6	13	8	6	8	6	5	8	4	6	8	7	4	6	7	6	9	6	5	10	7	5	9	5	4	3	5	4	6	3	3	8	6	5	7	11	6	13	9	7	10	6	5	6	8	7	11	4	5	6	5	5	7	6	5	12	8	5	8	8	5	10	7	5	6	4	5	6	8	7	9	8	5	10	5	4	7	7	5	6	6	6	9	8	5	8	6	5	8	6	5	7	6	5	6	6	6	9	6	5	9	4	6	7	5	5	8	6	5	9	6	6	7	8	5	8	10	6	11	5	4	9	6	5	8	8	7	10	5	5	8	6	4	8	7	5	10	5	5	8	5	5	8	8	5	10	11	8	14	10	7	11	9	7	11	7	5	9	6	5	6	6	6	9	5	4	7	6	5	10	8	5	9	9	7	10	4	5	4	6	5	9	5	5	7	5	6	8	6	5	9	7	7	10	6	6	9	6	4	8	7	4	9	5	5	4	7	5	8
98	6	5	10	6	5	5	7	6	9	7	4	10	6	3	9	6	6	9	5	3	5	5	4	4	8	6	11	6	5	10	6	5	6	6	4	9	7	5	10	7	5	8	6	3	5	5	4	8	3	4	4	7	5	9	7	5	8	8	6	9	6	5	8	7	4	9	5	5	9	6	3	3	4	4	7	5	5	6	8	5	10	3	3	2	8	6	10	4	5	5	7	7	7	5	5	5	5	4	4	5	4	8	3	4	1	11	6	12	7	5	6	6	6	7	5	4	7	4	4	8	7	6	9	6	6	9	7	4	9	6	5	6	3	4	5	5	4	6	6	5	10	4	3	6	8	6	9	4	5	7	4	4	5	3	4	5	7	5	8	4	5	8	0	4	2	5	5	10	8	6	11	6	4	8	9	6	9	7	4	7	9	5	11	6	5	6	7	5	9	5	3	5	7	5	9	7	5	10	5	3	5	8	6	11	5	4	5	4	5	6	3	5	4	7	5	7	3	5	5	2	3	4	4	5	7	3	3	5	6	3	5	7	7	11	6	6	9	6	6	7	2	2	4	2	4	0	6	5	8	6	3	7	8	5	10	8	5	10	2	3	4	9	5	11	5	3	6	5	5	7
99	4	3	4	2	2	4	3	3	2	2	3	4	4	4	6	1	3	3	6	3	8	6	5	6	4	2	3	3	1	3	3	3	6	4	3	8	2	2	1	4	3	5	2	2	2	1	2	5	4	4	6	2	2	1	1	2	2	1	2	3	2	2	2	4	3	4	4	2	5	0	1	1	2	3	2	4	4	6	5	2	5	5	3	6	7	3	5	3	3	4	5	4	5	1	3	2	1	2	0	3	3	2	3	1	3	2	3	1	0	1	0	1	1	1	4	5	8	1	1	4	3	2	4	3	3	3	4	4	8	2	3	4	5	4	7	6	3	7	0	1	1	4	3	4	4	3	4	4	3	3	2	3	2	2	3	3	1	1	2	2	0	3	2	2	5	4	3	4	4	3	8	-1	1	1	1	2	4	3	2	3	4	3	2	4	3	9	6	4	8	2	3	3	4	3	5	3	0	0	9	4	9	5	4	5	4	5	5	5	2	7	0	2	2	3	3	5	1	2	2	3	2	3	5	3	6	1	2	3	2	1	1	4	2	5	2	3	3	2	3	2	6	4	9	1	2	4	2	3	3	1	4	3	6	3	10	2	3	4	5	3	6	2	2	0	8	5	6	5	2	8
100	0	0	1	4	1	5	4	3	7	3	4	5	3	2	3	1	0	2	0	0	1	0	1	0	1	1	0	2	2	5	2	0	1	3	1	4	3	2	3	4	2	3	5	3	6	2	1	2	3	1	2	0	2	0	4	2	5	2	1	2	1	1	3	1	1	3	1	2	1	4	1	4	1	1	0	2	3	7	1	2	0	3	3	7	1	1	1	1	0	-1	4	3	3	3	1	4	0	3	4	4	2	5	1	1	6	2	2	5	1	1	-1	2	1	5	2	2	2	3	2	4	1	0	0	1	0	2	8	3	9	4	3	4	0	2	1	0	2	4	2	2	2	1	1	0	4	1	6	2	1	2	2	3	4	2	2	1	5	2	2	2	3	2	0	1	0	1	1	1	2	2	3	1	0	0	1	1	2	2	3	4	2	3	5	2	2	4	2	3	3	0	0	0	1	1	1	4	2	6	3	3	3	0	0	0	0	2	2	1	2	5	2	1	3	1	2	0	3	1	3	4	2	3	3	4	6	0	1	0	5	3	3	1	2	2	0	0	0	5	4	5	1	0	0	0	1	0	0	1	4	2	2	4	2	2	4	0	1	0	1	2	3	4	2	1	1	0	2	2	2	2
